2022-10-05 10:19:09,2022-10-05 15:03:48,19,25,5
2022-10-07 08:44:30,2022-10-07 15:02:49,8,16,6
2022-10-09 09:51:05,2022-10-09 15:27:44,14,23,7
2022-10-14 10:11:48,2022-10-14 15:29:30,3,12,6
2022-10-17 08:11:45,2022-10-17 14:56:36,6,13,9
2022-10-19 10:08:58,2022-10-19 16:14:39,7,16,4
2022-10-22 10:40:15,2022-10-22 15:57:16,18,43,8
2022-10-23 11:14:37,2022-10-23 16:04:03,15,22,4
2022-10-25 10:26:38,2022-10-25 16:28:29,10,20,9
2022-10-28 11:10:02,2022-10-28 15:15:06,9,19,8
2022-10-29 08:51:13,2022-10-29 14:32:29,2,9,10
2022-10-30 08:30:20,2022-10-30 15:50:57,10,18,5
2022-10-31 08:53:09,2022-10-31 16:31:34,11,17,7
2022-11-01 11:17:40,2022-11-01 16:09:35,8,13,7
2022-11-02 08:07:28,2022-11-02 16:40:20,20,25,6
2022-11-03 08:45:21,2022-11-03 15:26:47,13,24,4
2022-11-04 08:23:03,2022-11-04 15:33:34,12,20,8
2022-11-06 08:58:17,2022-11-06 15:35:51,4,11,8
2022-11-10 08:05:23,2022-11-10 16:40:03,9,18,5
2022-11-12 09:47:26,2022-11-12 16:27:51,13,21,10
2022-11-13 10:31:28,2022-11-13 15:43:24,1,10,7
2022-11-15 10:00:56,2022-11-15 15:40:07,20,25,7
2022-11-18 09:59:06,2022-11-18 14:57:50,10,20,5
2022-11-20 09:45:22,2022-11-20 16:06:07,19,45,6
2022-11-21 11:23:49,2022-11-21 15:25:40,15,21,6
2022-11-24 10:05:41,2022-11-24 16:18:14,11,19,7
2022-11-27 09:17:36,2022-11-27 15:13:56,14,21,9
2022-11-30 08:56:47,2022-11-30 15:38:41,9,17,8
2022-12-02 08:14:59,2022-12-02 15:54:19,12,20,9
2022-12-05 09:08:21,2022-12-05 14:34:26,11,18,10
2022-12-06 11:22:50,2022-12-06 15:38:47,16,24,5
2022-12-07 10:50:47,2022-12-07 15:56:12,17,25,6
2022-12-11 11:07:39,2022-12-11 16:47:54,6,14,9
2022-12-16 10:15:15,2022-12-16 18:00:35,8,15,5
2022-12-17 09:32:54,2022-12-17 16:18:19,6,16,5
2022-12-18 11:04:07,2022-12-18 16:34:47,12,19,6
2022-12-21 11:38:53,2022-12-21 18:14:43,5,13,10
2022-12-24 08:59:22,2022-12-24 16:42:17,8,15,8
2022-12-27 10:22:05,2022-12-27 16:22:35,19,45,5
2022-12-29 08:32:17,2022-12-29 16:23:02,10,17,7
2022-12-30 10:47:14,2022-12-30 18:32:39,12,20,7
2023-01-04 10:51:09,2023-01-04 17:46:54,3,12,4
2023-01-09 08:37:19,2023-01-09 14:02:59,1,11,4
2023-01-12 09:36:37,2023-01-12 16:00:32,10,17,9
2023-01-15 10:42:09,2023-01-15 17:02:34,18,25,8
2023-01-20 09:24:59,2023-01-20 16:43:44,5,13,6
2023-01-21 09:26:41,2023-01-21 16:42:36,11,20,9
2023-01-27 09:06:42,2023-01-27 16:34:02,7,15,9
2023-01-30 10:02:41,2023-01-30 15:13:31,18,43,7
2023-01-31 08:07:19,2023-01-31 13:22:44,5,14,7
2023-02-05 08:19:31,2023-02-05 16:05:46,5,13,7
2023-02-08 09:43:49,2023-02-08 14:54:59,5,15,10
2023-02-09 11:05:48,2023-02-09 17:26:38,2,10,8
2023-02-10 08:28:18,2023-02-10 14:59:13,4,12,6
2023-02-19 08:26:43,2023-02-19 14:47:08,9,17,5
2023-02-20 10:59:33,2023-02-20 18:54:58,7,13,9
2023-02-25 08:37:18,2023-02-25 14:37:43,1,9,9
2023-02-27 10:00:47,2023-02-27 16:56:17,15,24,5
2023-03-02 08:14:12,2023-03-02 17:48:02,16,22,7
2023-03-05 10:22:07,2023-03-05 13:35:07,2,12,5
2023-03-10 10:04:34,2023-03-10 17:03:02,13,21,4
2023-03-14 10:47:58,2023-03-14 13:24:22,2,11,7
2023-03-17 11:35:20,2023-03-17 16:26:44,9,20,8
2023-03-19 09:27:43,2023-03-19 17:43:13,7,16,8
2023-03-21 08:17:49,2023-03-21 18:41:05,14,21,9
2023-03-24 10:49:22,2023-03-24 15:13:03,19,44,10
2023-03-28 11:11:58,2023-03-28 14:48:44,13,22,4
2023-04-01 10:13:06,2023-04-01 15:59:37,4,9,7
