220,520,354,1,1
390,420,398,1,2
260,830,568,1,3
300,910,882,1,4
230,800,634,1,5
370,430,384,1,6
400,660,610,1,7
390,430,412,1,8
290,510,340,1,9
340,780,466,1,10
200,830,782,1,11
210,850,330,1,12
370,840,614,1,13
290,670,651,1,14
350,620,455,1,15
400,910,625,1,16
270,930,874,1,17
370,620,597,1,18
230,500,274,1,19
270,700,534,1,20
210,500,491,1,21
280,680,336,1,22
330,720,485,1,23
310,850,719,1,24
380,650,642,1,25
210,430,403,1,26
390,420,419,1,27
400,550,448,1,28
390,490,476,1,29
340,900,465,1,30
340,480,404,1,31
320,560,376,1,32
400,1000,913,1,33
300,720,479,1,34
320,770,472,1,35
400,710,587,1,36
400,930,712,1,37
400,1000,896,1,38
230,830,260,1,39
330,820,587,1,40
380,510,459,1,41
370,410,395,1,42
230,540,267,1,43
240,940,473,1,44
310,700,401,1,45
400,550,432,1,46
330,790,548,1,47
210,630,250,1,48
300,420,406,1,49
320,510,374,1,50
230,670,487,1,51
320,830,324,2,1
350,950,813,2,2
280,970,717,2,3
290,780,608,2,4
390,830,507,2,5
270,700,451,2,6
360,870,788,2,7
220,740,321,2,8
250,400,344,2,9
300,460,449,2,10
280,750,315,2,11
230,780,231,2,12
260,1000,602,2,13
250,930,302,2,14
210,420,312,2,15
350,670,515,2,16
350,830,425,2,17
330,760,488,2,18
290,780,471,2,19
320,700,636,2,20
270,480,383,2,21
350,650,648,2,22
360,840,439,2,23
220,790,309,2,24
260,700,285,2,25
230,400,315,2,26
350,620,480,2,27
270,620,583,2,28
300,760,670,2,29
270,760,503,2,30
230,830,754,2,31
340,790,779,2,32
270,1000,339,2,33
320,820,745,2,34
360,780,453,2,35
340,440,390,2,36
240,560,531,2,37
350,450,407,2,38
380,570,501,2,39
280,500,387,2,40
320,500,409,2,41
380,580,470,2,42
360,860,665,2,43
320,540,468,2,44
350,530,447,2,45
230,780,382,2,46
280,540,336,2,47
360,900,780,2,48
360,480,381,2,49
220,500,237,2,50
400,830,407,2,51
390,950,856,3,1
330,680,528,3,2
230,940,292,3,3
280,910,751,3,4
300,750,408,3,5
260,990,483,3,6
330,500,496,3,7
320,700,417,3,8
250,650,468,3,9
380,1000,843,3,10
230,970,348,3,11
370,710,631,3,12
310,430,417,3,13
280,440,356,3,14
380,930,485,3,15
210,720,277,3,16
250,840,749,3,17
370,960,756,3,18
360,960,477,3,19
310,880,463,3,20
270,750,312,3,21
390,910,720,3,22
390,710,489,3,23
320,570,504,3,24
330,410,379,3,25
350,900,583,3,26
370,600,376,3,27
370,560,495,3,28
340,630,422,3,29
270,760,353,3,30
400,540,407,3,31
400,740,503,3,32
350,780,778,3,33
330,730,464,3,34
320,590,368,3,35
390,810,622,3,36
350,570,436,3,37
200,940,814,3,38
320,670,567,3,39
330,780,446,3,40
220,950,264,3,41
220,670,431,3,42
300,720,674,3,43
380,890,654,3,44
230,750,471,3,45
250,510,428,3,46
220,420,318,3,47
230,820,465,3,48
330,630,499,3,49
240,980,632,3,50
220,700,620,3,51
270,920,548,4,1
300,760,737,4,2
400,880,532,4,3
230,560,512,4,4
320,950,451,4,5
220,810,510,4,6
320,770,621,4,7
200,460,418,4,8
310,600,510,4,9
280,920,541,4,10
380,970,748,4,11
380,810,748,4,12
220,560,539,4,13
260,660,315,4,14
350,740,442,4,15
280,600,507,4,16
280,610,317,4,17
350,590,587,4,18
360,500,409,4,19
360,510,452,4,20
230,920,479,4,21
300,860,757,4,22
260,500,455,4,23
380,1000,468,4,24
310,790,466,4,25
380,890,385,4,26
320,880,728,4,27
260,690,487,4,28
240,430,406,4,29
380,810,540,4,30
310,660,341,4,31
210,500,464,4,32
390,870,787,4,33
310,1000,727,4,34
300,410,312,4,35
280,770,335,4,36
390,530,416,4,37
290,670,335,4,38
260,710,276,4,39
210,610,520,4,40
360,740,516,4,41
380,880,412,4,42
340,810,769,4,43
200,710,293,4,44
340,690,563,4,45
220,710,362,4,46
320,450,431,4,47
380,850,626,4,48
280,470,469,4,49
260,540,307,4,50
390,610,517,4,51
200,880,772,5,1
280,870,467,5,2
200,850,200,5,3
280,460,371,5,4
350,580,393,5,5
350,480,438,5,6
380,940,628,5,7
360,780,433,5,8
400,780,637,5,9
360,440,368,5,10
350,680,438,5,11
370,400,371,5,12
230,860,428,5,13
310,890,728,5,14
300,950,728,5,15
380,940,650,5,16
200,730,640,5,17
270,860,347,5,18
350,710,670,5,19
380,560,487,5,20
360,650,378,5,21
350,410,408,5,22
320,480,466,5,23
210,870,243,5,24
350,400,394,5,25
370,450,449,5,26
200,560,477,5,27
390,580,424,5,28
240,990,578,5,29
260,890,618,5,30
400,420,410,5,31
370,440,406,5,32
400,690,444,5,33
380,910,632,5,34
230,950,633,5,35
240,900,597,5,36
390,640,538,5,37
280,510,452,5,38
200,640,531,5,39
340,570,388,5,40
320,470,402,5,41
380,430,403,5,42
260,750,339,5,43
310,580,566,5,44
220,580,307,5,45
270,570,289,5,46
330,550,480,5,47
310,730,664,5,48
370,920,542,5,49
320,770,347,5,50
250,930,453,5,51
