8,1,25
5,2,17
1,3,23
10,4,12
6,5,17
9,6,30
8,7,1
5,8,44
3,9,48
7,10,39
6,11,17
3,12,38
7,13,28
9,14,51
3,15,15
3,16,37
6,17,9
9,18,22
8,19,34
4,20,36
2,21,40
7,22,51
9,23,49
6,24,4
7,25,6
7,26,38
7,27,33
9,28,38
1,29,50
9,30,43
5,31,16
5,32,15
2,33,26
2,34,32
4,35,2
4,36,33
7,37,23
2,38,30
3,39,21
5,40,44
5,41,26
7,42,24
7,43,18
1,44,19
8,45,50
6,46,36
4,47,19
8,48,9
2,49,43
1,50,1
1,51,22
9,52,17
5,53,6
3,54,11
3,55,11
2,56,20
8,57,30
8,58,27
3,59,49
5,60,40
8,61,12
6,62,23
5,63,14
6,64,38
6,65,4
8,66,20
5,67,5
1,68,17
6,69,51
10,70,9
6,71,31
10,72,24
6,73,15
7,74,1
9,75,45
1,76,7
4,77,26
1,78,16
3,79,44
10,80,19
10,81,43
6,82,51
8,83,7
4,84,2
9,85,22
5,86,12
9,87,25
4,88,44
1,89,49
10,90,18
4,91,11
9,92,39
10,93,50
8,94,4
7,95,44
8,96,50
2,97,40
3,98,10
8,99,25
6,100,10
